Attribute,Metrics category,Task-Oriented Metrics,Approach,Source,Source link
Simulated individual,Performance metrics,Rated statement quality,LLM,Improving Interpersonal Communication by Simulating Audiences with Language Models,https://arxiv.org/abs/2311.00687
Simulated individual,Performance metrics,Conversational ability (CharacterEval),LLM,ERABAL: Enhancing Role-Playing Agents through Boundary-Aware Learning,https://arxiv.org/pdf/2409.14710
Simulated individual,Performance metrics,Roleplay subset of MT-Bench,LLM,ERABAL: Enhancing Role-Playing Agents through Boundary-Aware Learning,https://arxiv.org/pdf/2409.14710
Simulated individual,Performance metrics,Professional scale (accuracy in replicating profession-specific knowledge),LLM,Identity-Driven Hierarchical Role-Playing Agents,https://arxiv.org/abs/2407.19412
Simulated individual,Performance metrics,Language quality,LLM,SpeechAgents: Human-Communication Simulation with Multi-Modal Multi-Agent Systems,https://arxiv.org/abs/2401.03945
Simulated individual,Performance metrics,"Prediction accuracy between real data and generated data (Replication success rate, Kullback-Leibler divergence)",Automatic,Human Testing using Large-Language Models: Experimental Research and the Development of a Security Awareness Controls Framework,http://www.modsimworld.org/papers/2024/MODSIM_2024_paper_13.pdf
Simulated individual,Performance metrics,"Prediction accuracy between real data and generated data (Replication success rate, Kullback-Leibler divergence)",Automatic,Chrono-Sampling: Generative AI Enabled Time Machine for Public Opinion Data Collection,https://osf.io/preprints/psyarxiv/49ags_v1
Simulated individual,Performance metrics,"Prediction accuracy between real data and generated data (Replication success rate, Kullback-Leibler divergence)",Automatic,"Generative Agent Simulations of 1,000 People",https://arxiv.org/abs/2411.10109
Simulated individual,Performance metrics,"Prediction accuracy between real data and generated data (Replication success rate, Kullback-Leibler divergence)",Automatic,Using Large Language Models to Create AI Personas for Replication and Prediction of Media Effects: An Empirical Test of 133 Published Experimental Research Findings,https://arxiv.org/abs/2408.16073
Simulated individual,Performance metrics,Accuracy of distinguishing between AI-generated and human-built solutions,Automatic,Generating personas using LLMs and assessing their viability,https://dl.acm.org/doi/abs/10.1145/3613905.3650860
Simulated individual,Internal consistency metrics,Accuracy of reaction based on social relationship,Automatic,"RoleAgent: Building, Interacting, and Benchmarking High-quality Role-Playing Agents from Scripts",https://openreview.net/forum?id=hORTHzt2cE
Simulated individual,Internal consistency metrics,Perceived connection between personas and system outcomes,Human,"An Empathy-Based Sandbox Approach to Bridge the Privacy Gap among Attitudes, Goals, Knowledge, and Behaviors",https://dl.acm.org/doi/10.1145/3613904.3642363
Simulated individual,Internal consistency metrics,"Representativeness (Wasserstein distance, respond with similar answers to individual survey questions), Consistency (Frobenius norm, the correlation across responses to a set of questions in each survey)",Automatic,Virtual Personas for Language Models via an Anthology of Backstories,https://arxiv.org/abs/2407.06576
Simulated individual,Internal consistency metrics,Role consistency (WikiRoleEval with human evaluators),Human,ERABAL: Enhancing Role-Playing Agents through Boundary-Aware Learning,https://arxiv.org/pdf/2409.14710
Simulated individual,Internal consistency metrics,"Role consistency/attractiveness (WikiRoleEval, CharacterEval)",LLM,ERABAL: Enhancing Role-Playing Agents through Boundary-Aware Learning,https://arxiv.org/pdf/2409.14710
Simulated individual,Internal consistency metrics,Consistency,Human,SpeechAgents: Human-Communication Simulation with Multi-Modal Multi-Agent Systems,https://arxiv.org/abs/2401.03945
Simulated individual,Internal consistency metrics,Consistency,Human,e-THERAPIST: I suggest you to cultivate a mindset of positivity and nurture uplifting thoughts,https://aclanthology.org/2023.emnlp-main.861.pdf
Simulated individual,Internal consistency metrics,Future self-continuity,Human,"Future You: A Conversation with an AI-Generated Future Self Reduces Anxiety, Negative Emotions, and Increases Future Self-Continuity",https://arxiv.org/pdf/2405.12514
Simulated individual,Internal consistency metrics,Agreement between a synthetic annotator both with and without a leave-one-out attribute (Cohen's Kappa),Automatic,PERSONA: A Reproducible Testbed for Pluralistic Alignment,https://arxiv.org/abs/2407.17387
Simulated individual,Internal consistency metrics,Consistency with the scenario and characters,Automatic,SpeechAgents: Human-Communication Simulation with Multi-Modal Multi-Agent Systems,https://arxiv.org/abs/2401.03945
Simulated individual,Internal consistency metrics,Quality and logical coherence of the script content,Automatic,SpeechAgents: Human-Communication Simulation with Multi-Modal Multi-Agent Systems,https://arxiv.org/abs/2401.03945
Simulated individual,Internal consistency metrics,Nation-related response percentage,Automatic,Exploring Changes in Nation Perception with Nationality-Assigned Personas in LLMs,https://arxiv.org/abs/2406.13993
Simulated individual,External alignment metrics,Unknown question rejection (WikiRoleEval with human evaluators),Human,ERABAL: Enhancing Role-Playing Agents through Boundary-Aware Learning,https://arxiv.org/pdf/2409.14710
Simulated individual,External alignment metrics,Unknown question rejection (WikiRoleEval),LLM,ERABAL: Enhancing Role-Playing Agents through Boundary-Aware Learning,https://arxiv.org/pdf/2409.14710
Simulated individual,External alignment metrics,Accuracy of self-knowledge,Automatic,"RoleAgent: Building, Interacting, and Benchmarking High-quality Role-Playing Agents from Scripts",https://openreview.net/forum?id=hORTHzt2cE
Simulated individual,External alignment metrics,Correctness,Human,SpeechAgents: Human-Communication Simulation with Multi-Modal Multi-Agent Systems,https://arxiv.org/abs/2401.03945
Simulated individual,External alignment metrics,Correctness,Human,Large language models are able to downplay their cognitive abilities to fit the persona they simulate,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0298522
Simulated individual,External alignment metrics,"Agreement score between human raters and LLM, ",Automatic,Improving Interpersonal Communication by Simulating Audiences with Language Models,https://arxiv.org/abs/2311.00687
Simulated individual,External alignment metrics,"Agreement score between human raters and LLM, ",Automatic,Evaluating and Inducing Personality in Pre-trained Language Models,https://proceedings.neurips.cc/paper_files/paper/2023/hash/21f7b745f73ce0d1f9bcea7f40b1388e-Abstract-Conference.html
Simulated individual,External alignment metrics,"Agreement score between human raters and LLM, ",Automatic,"RoleAgent: Building, Interacting, and Benchmarking High-quality Role-Playing Agents from Scripts",https://openreview.net/forum?id=hORTHzt2cE
Simulated individual,External alignment metrics,Human-likeness,Human,SpeechAgents: Human-Communication Simulation with Multi-Modal Multi-Agent Systems,https://arxiv.org/abs/2401.03945
Simulated individual,Content and textual metrics,"Content similarity (ROUGE-L, BERTScore, GPT-based-similarity, G-eval)",Automatic,Understanding Human-AI Workflows for Generating Personas,https://dl.acm.org/doi/abs/10.1145/3643834.3660729
Simulated individual,Content and textual metrics,Entity density of summarization,Automatic,"RoleAgent: Building, Interacting, and Benchmarking High-quality Role-Playing Agents from Scripts",https://openreview.net/forum?id=hORTHzt2cE
Simulated individual,Content and textual metrics,Entity recall of summarization,Automatic,"RoleAgent: Building, Interacting, and Benchmarking High-quality Role-Playing Agents from Scripts",https://openreview.net/forum?id=hORTHzt2cE
Simulated individual,Content and textual metrics,Dialog diversity,Automatic,DiverseDialogue: A Methodology for Designing Chatbots with Human-Like Diversity,https://arxiv.org/pdf/2409.00262
Simulated individual,"Bias, fairness, and ethic metrics",Hate speech detection accuracy,Automatic,Human and LLM Biases in Hate Speech Annotations: A Socio-Demographic Analysis of Annotators and Targets,https://arxiv.org/abs/2410.07991
Simulated individual,"Bias, fairness, and ethic metrics",Population heterogeneity,Automatic,"One fish, two fish, but not the whole sea: Alignment reduces language models’ conceptual diversity",https://arxiv.org/pdf/2411.04427
Simulated society,Social and economic metrics,Social Conflict Count,Automatic,Emergence of Social Norms in Generative Agent Societies: Principles and Architecture,https://arxiv.org/abs/2403.08251
Simulated society,Social and economic metrics,Social Rules,Human,SOTOPIA: INTERACTIVE EVALUATION FOR SOCIAL INTELLIGENCE IN LANGUAGE AGENTS,https://arxiv.org/pdf/2310.11667
Simulated society,Social and economic metrics,Social Rules,LLM,SOTOPIA: INTERACTIVE EVALUATION FOR SOCIAL INTELLIGENCE IN LANGUAGE AGENTS,https://arxiv.org/pdf/2310.11667
Simulated society,Social and economic metrics,Financial and Material Benefits,Human,SOTOPIA: INTERACTIVE EVALUATION FOR SOCIAL INTELLIGENCE IN LANGUAGE AGENTS,https://arxiv.org/pdf/2310.11667
Simulated society,Social and economic metrics,Financial and Material Benefits,LLM,SOTOPIA: INTERACTIVE EVALUATION FOR SOCIAL INTELLIGENCE IN LANGUAGE AGENTS,https://arxiv.org/pdf/2310.11667
Simulated society,Social and economic metrics,Converged price,Automatic,Shall We Team Up: Exploring Spontaneous Cooperation of Competing LLM Agents,https://arxiv.org/pdf/2402.12327
Simulated society,Social and economic metrics,Information diffusion,Automatic,Generative Agents: Interactive Simulacra of Human Behavior,https://dl.acm.org/doi/abs/10.1145/3586183.3606763
Simulated society,Psychological metrics,Relationship formation,Automatic,Generative Agents: Interactive Simulacra of Human Behavior,https://dl.acm.org/doi/abs/10.1145/3586183.3606763
Simulated society,Social and economic metrics,Relationship,LLM,SOTOPIA: INTERACTIVE EVALUATION FOR SOCIAL INTELLIGENCE IN LANGUAGE AGENTS,https://arxiv.org/pdf/2310.11667
Simulated society,Performance metrics,Response accuracy,Automatic,Generative Agents: Interactive Simulacra of Human Behavior,https://dl.acm.org/doi/abs/10.1145/3586183.3606763
Simulated society,Social and economic metrics,Coordination within other agents,Automatic,Generative Agents: Interactive Simulacra of Human Behavior,https://dl.acm.org/doi/abs/10.1145/3586183.3606763
Simulated society,Social and economic metrics,Probability of social connection formation,Automatic,Do LLM Agents Exhibit Social Behavior?,https://arxiv.org/abs/2312.15198
Simulated society,Social and economic metrics,Percent of social welfare maximization choices,Automatic,Do LLM Agents Exhibit Social Behavior?,https://arxiv.org/abs/2312.15198
Simulated society,Social and economic metrics,"Persuasion (distribution of persuasion outcomes, odds ratios)",Automatic,I Want to Break Free! Persuasion and Anti-Social Behavior of LLMs in Multi-Agent Settings with Social Hierarchy,https://arxiv.org/pdf/2410.07109
Simulated society,Social and economic metrics,Anti-social behavior (effect on toxic messages),Automatic,I Want to Break Free! Persuasion and Anti-Social Behavior of LLMs in Multi-Agent Settings with Social Hierarchy,https://arxiv.org/pdf/2410.07109
Simulated society,Social and economic metrics,Norm Internalization Rate,Automatic,Emergence of Social Norms in Generative Agent Societies: Principles and Architecture,https://arxiv.org/abs/2403.08251
Simulated society,Social and economic metrics,Norm Compliance Rate,Automatic,Emergence of Social Norms in Generative Agent Societies: Principles and Architecture,https://arxiv.org/abs/2403.08251
Simulated society,Psychological metrics,NASA-TLX Scores,Human,"See Widely, Think Wisely: Toward Designing a Generative Multi-agent System to Burst Filter Bubbles",https://dl.acm.org/doi/abs/10.1145/3613904.3642545
Simulated society,Psychological metrics,Helpfulness rating,Human,"See Widely, Think Wisely: Toward Designing a Generative Multi-agent System to Burst Filter Bubbles",https://dl.acm.org/doi/abs/10.1145/3613904.3642545
Simulated society,Psychological metrics,"Personality (Big Five Invertory, MBTI score, SD3 score, Linguistic Inquiry and Word Count framework, HEXACO)",Automatic,LLM Agents in Interaction: Measuring Personality Consistency and Linguistic Alignment in Interacting Populations of Large Language Models,https://arxiv.org/abs/2402.02896
Simulated society,Psychological metrics,"Personality (Big Five Invertory, MBTI score, SD3 score, Linguistic Inquiry and Word Count framework, HEXACO)",Automatic,Evolving Agents: Interactive Simulation of Dynamic and Diverse Human Personalities,https://arxiv.org/abs/2404.02718
Simulated society,Psychological metrics,Degree of reciprocity,Automatic,Do LLM Agents Exhibit Social Behavior?,https://arxiv.org/abs/2312.15198
Simulated society,Psychological metrics,Pleasure rating,Human,"See Widely, Think Wisely: Toward Designing a Generative Multi-agent System to Burst Filter Bubbles",https://dl.acm.org/doi/abs/10.1145/3613904.3642545
Simulated society,Psychological metrics,Trend of Favorability Decline,Automatic,AgentGroupChat: An Interactive Group Chat Simulacra For Better Eliciting Emergent Behavior,https://arxiv.org/abs/2403.13433
Simulated society,Psychological metrics,Negative Favorability Achievement,Automatic,AgentGroupChat: An Interactive Group Chat Simulacra For Better Eliciting Emergent Behavior,https://arxiv.org/abs/2403.13433
Simulated society,Psychological metrics,Trend of Favorability Decline,Automatic,AgentGroupChat: An Interactive Group Chat Simulacra For Better Eliciting Emergent Behavior,https://arxiv.org/abs/2403.13433
Simulated society,Psychological metrics,Negative Favorability Achievement,Automatic,AgentGroupChat: An Interactive Group Chat Simulacra For Better Eliciting Emergent Behavior,https://arxiv.org/abs/2403.13433
Simulated society,Performance metrics,Abstention accuracy,Automatic,Plurals: A System for Guiding LLMs Via Simulated Social Ensembles,https://arxiv.org/pdf/2409.17213
Simulated society,Performance metrics,Accuracy of information gathering,Automatic,Lyfe Agents: Generative agents for low-cost real-time social interactions,https://arxiv.org/abs/2310.02172
Simulated society,Performance metrics,Implicit reasoning accuracy,Automatic,AgentSense: Benchmarking Social Intelligence of Language Agents through Interactive Scenarios,https://arxiv.org/abs/2410.19346
Simulated society,Performance metrics,"Prediction accuracy (F1 score, AUC, MSE, MAE, depression risk prediction accuracy, suicide risk prediction accuracy)",Automatic,Depression Diagnosis Dialogue Simulation: Self-improving Psychiatrist with Tertiary Memory,https://arxiv.org/html/2409.15084v1
Simulated society,Performance metrics,Guess accuracy,Automatic,Do LLM Agents Exhibit Social Behavior?,https://arxiv.org/abs/2312.15198
Simulated society,Performance metrics,Classification accuracy,Automatic,Hello Again! LLM-powered Personalized Agent for Long-term Dialogue,https://arxiv.org/abs/2406.05925
Simulated society,Performance metrics,Success rate,Automatic,Lyfe Agents: Generative agents for low-cost real-time social interactions,https://arxiv.org/abs/2310.02172
Simulated society,Performance metrics,Success rate,Automatic,MetaAgents: Simulating Interactions of Human Behaviors for LLM-based Task-oriented Coordination via Collaborative Generative Agents,https://arxiv.org/abs/2310.06500
Simulated society,Performance metrics,Success rate,Automatic,MetaAgents: Simulating Interactions of Human Behaviors for LLM-based Task-oriented Coordination via Collaborative Generative Agents,https://arxiv.org/abs/2310.06500
Simulated society,Performance metrics,"Success rate for coordination (identification accuracy, workflow correctness, alignment between job and agent's skill)",Automatic,MetaAgents: Simulating Interactions of Human Behaviors for LLM-based Task-oriented Coordination via Collaborative Generative Agents,https://arxiv.org/pdf/2310.06500
Simulated society,Performance metrics,"Success rate for coordination (identification accuracy, workflow correctness, alignment between job and agent's skill)",Automatic,MetaAgents: Simulating Interactions of Human Behaviors for LLM-based Task-oriented Coordination via Collaborative Generative Agents,https://arxiv.org/pdf/2310.06500
Simulated society,Performance metrics,Task Accuracy,Automatic,Exploring Collaboration Mechanisms for LLM Agents: A Social Psychology View,https://aclanthology.org/2024.acl-long.782.pdf
Simulated society,Performance metrics,Task Accuracy,Automatic,Depression Diagnosis Dialogue Simulation: Self-improving Psychiatrist with Tertiary Memory,https://arxiv.org/html/2409.15084v1
Simulated society,Performance metrics,Errors in the prompting sequence,Human,Prompting for Socially Intelligent Agents with ChatGPT,https://dl.acm.org/doi/abs/10.1145/3570945.3607303
Simulated society,Performance metrics,Error-free execution,Automatic,MegaAgent: A Practical Framework for Autonomous Cooperation in Large-Scale LLM Agent Systems,https://arxiv.org/pdf/2408.09955
Simulated society,Performance metrics,Goal completion,Human,AgentSense: Benchmarking Social Intelligence of Language Agents through Interactive Scenarios,https://arxiv.org/abs/2410.19346
Simulated society,Performance metrics,Goal completion,LLM,Is this the real life? Is this just fantasy? The Misleading Success of Simulating Social Interactions With LLMs,https://aclanthology.org/2024.emnlp-main.1208.pdf
Simulated society,Performance metrics,Goal completion,LLM,AgentSense: Benchmarking Social Intelligence of Language Agents through Interactive Scenarios,https://arxiv.org/abs/2410.19346
Simulated society,Performance metrics,Goal completion,LLM,SOTOPIA: INTERACTIVE EVALUATION FOR SOCIAL INTELLIGENCE IN LANGUAGE AGENTS,https://arxiv.org/pdf/2310.11667
Simulated society,Performance metrics,Efficacy,Human,Plurals: A System for Guiding LLMs Via Simulated Social Ensembles,https://arxiv.org/pdf/2409.17213
Simulated society,Performance metrics,Knowledge,Human,SOTOPIA: INTERACTIVE EVALUATION FOR SOCIAL INTELLIGENCE IN LANGUAGE AGENTS,https://arxiv.org/pdf/2310.11667
Simulated society,Performance metrics,Knowledge,LLM,SOTOPIA: INTERACTIVE EVALUATION FOR SOCIAL INTELLIGENCE IN LANGUAGE AGENTS,https://arxiv.org/pdf/2310.11667
Simulated society,Performance metrics,Reasoning abilities,Automatic,AGENTVERSE: FACILITATING MULTI-AGENT COLLABORATION AND EXPLORING EMERGENT BEHAVIORS,https://arxiv.org/pdf/2308.10848
Simulated society,Performance metrics,Reasoning abilities,Human,AGENTVERSE: FACILITATING MULTI-AGENT COLLABORATION AND EXPLORING EMERGENT BEHAVIORS,https://arxiv.org/pdf/2308.10848
Simulated society,Performance metrics,Efficiency,Automatic,Cooperate or Collapse: Emergence of Sustainable Cooperation in a Society of LLM Agents,https://arxiv.org/pdf/2404.16698
Simulated society,Performance metrics,"Text understanding and creative writing abilities (Dialogue response dataset, Commongen Challenge)",LLM,AGENTVERSE: FACILITATING MULTI-AGENT COLLABORATION AND EXPLORING EMERGENT BEHAVIORS,https://arxiv.org/pdf/2308.10848
Simulated society,Performance metrics,"Probabilities of receiving, storing, and retrieving the key information across the population",Automatic,Lyfe Agents: Generative agents for low-cost real-time social interactions,https://arxiv.org/abs/2310.02172
Simulated society,Performance metrics,Correlation between predicted and real results,Automatic,Psychologically-Valid Generative Agents: A Novel Approach to Agent-Based Modeling in Social Sciences,https://ojs.aaai.org/index.php/AAAI-SS/article/view/27698
Simulated society,Internal consistency metrics,Behavioral similarity,Automatic,Evolving Agents: Interactive Simulation of Dynamic and Diverse Human Personalities,https://arxiv.org/abs/2404.02718
Simulated society,Internal consistency metrics,Semantic consistency (cosine similarity),Automatic,Interactive Agents: Simulating Counselor-Client Psychological Counseling via Role-Playing LLM-to-LLM Interactions,https://arxiv.org/abs/2408.15787
Simulated society,External alignment metrics,"Alignment (Environmental understanding and response accuracy, adherence to predefined settings)",Automatic,AgentGroupChat: An Interactive Group Chat Simulacra For Better Eliciting Emergent Behavior,https://arxiv.org/abs/2403.13433
Simulated society,External alignment metrics,Strategy accuracy (strategies provided by the models vs. by human experts and evaluate the accuracy),Automatic,Self-Emotion Blended Dialogue Generation in Social Simulation Agents,https://arxiv.org/abs/2408.01633
Simulated society,External alignment metrics,Believability of behavior,Human,SOTOPIA: INTERACTIVE EVALUATION FOR SOCIAL INTELLIGENCE IN LANGUAGE AGENTS,https://arxiv.org/pdf/2310.11667
Simulated society,External alignment metrics,Believability of behavior,Human,Generative Agents: Interactive Simulacra of Human Behavior,https://dl.acm.org/doi/abs/10.1145/3586183.3606763
Simulated society,Content and textual metrics,"Content similarity (ROUGE-L, BERTScore, GPT-based-similarity, G-eval, BLEU-4)",Automatic,Hello Again! LLM-powered Personalized Agent for Long-term Dialogue,https://arxiv.org/abs/2406.05925
Simulated society,Content and textual metrics,"Content similarity (ROUGE-L, BERTScore, GPT-based-similarity, G-eval)",Automatic,Towards Humanoid: Value-Driven Agent Modeling Based on Large Language Models,https://openreview.net/forum?id=irKHAnZjvc
Simulated society,Content and textual metrics,"Content similarity (ROUGE-L, BERTScore, GPT-based-similarity, G-eval)",Automatic,e-THERAPIST: I suggest you to cultivate a mindset of positivity and nurture uplifting thoughts,https://aclanthology.org/2023.emnlp-main.861.pdf
Simulated society,Content and textual metrics,Semantic understanding,Automatic,AgentGroupChat: An Interactive Group Chat Simulacra For Better Eliciting Emergent Behavior,https://arxiv.org/abs/2403.13433
Simulated society,Content and textual metrics,Complexity of generated content,Automatic,Prompting for Socially Intelligent Agents with ChatGPT,https://dl.acm.org/doi/abs/10.1145/3570945.3607303
Simulated society,Content and textual metrics,Dialogue generation quality,Automatic,Prompting for Socially Intelligent Agents with ChatGPT,https://dl.acm.org/doi/abs/10.1145/3570945.3607303
Simulated society,Content and textual metrics,Number of conversation rounds,Automatic,"See Widely, Think Wisely: Toward Designing a Generative Multi-agent System to Burst Filter Bubbles",https://dl.acm.org/doi/abs/10.1145/3613904.3642545
Simulated society,"Bias, fairness, and ethic metrics","Bias rate (herd effect, authority effect, ban franklin effect, rumor chain effect, gambler's fallacy, confirmation bias, halo effect)",Human,EXPLORING PROSOCIAL IRRATIONALITY FOR LLM AGENTS: A SOCIAL COGNITION VIEW,https://arxiv.org/pdf/2405.14744
Simulated society,"Bias, fairness, and ethic metrics","Bias rate (herd effect, authority effect, ban franklin effect, rumor chain effect, gambler's fallacy, confirmation bias, halo effect)",LLM,EXPLORING PROSOCIAL IRRATIONALITY FOR LLM AGENTS: A SOCIAL COGNITION VIEW,https://arxiv.org/pdf/2405.14744
Simulated society,"Bias, fairness, and ethic metrics","Bias rate (herd effect, authority effect, ban franklin effect, rumor chain effect, gambler's fallacy, confirmation bias, halo effect)",Automatic,EXPLORING PROSOCIAL IRRATIONALITY FOR LLM AGENTS: A SOCIAL COGNITION VIEW,https://arxiv.org/pdf/2405.14744
Simulated society,"Bias, fairness, and ethic metrics",Equality,Automatic,Cooperate or Collapse: Emergence of Sustainable Cooperation in a Society of LLM Agents,https://arxiv.org/pdf/2404.16698
Writing,Psychological metrics,"Qualitative feedback (expertise, social relation, valence, level of involvement)",Human,Writer-Defined AI Personas for On-Demand Feedback Generation,https://dl.acm.org/doi/abs/10.1145/3613904.3642406
Writing,Performance metrics,"Prediction accuracy (F1 score, AUC, MSE, MAE, depression risk prediction accuracy, suicide risk prediction accuracy)",Automatic,UNLEASHING COGNITIVE SYNERGY IN LARGE LANGUAGE MODELS: A TASK-SOLVING AGENT THROUGH MULTI-PERSONA SELF-COLLABORATION,https://www.researchgate.net/profile/Wenshan-Wu-2/publication/372286729_Unleashing_Cognitive_Synergy_in_Large_Language_Models_A_Task-Solving_Agent_through_Multi-Persona_Self-Collaboration/links/653b83255d51a8012b727b89/Unleashing-Cognitive-Synergy-in-Large-Language-Models-A-Task-Solving-Agent-through-Multi-Persona-Self-Collaboration.pdf
Writing,Performance metrics,Success rate,Automatic,StoryVerse: Towards Co-authoring Dynamic Plot with LLM-based Character Simulation via Narrative Planning,https://dl.acm.org/doi/abs/10.1145/3649921.3656987
Writing,Performance metrics,Behavioral patterns,Human,"See Widely, Think Wisely: Toward Designing a Generative Multi-agent System to Burst Filter Bubbles",https://dl.acm.org/doi/abs/10.1145/3613904.3642545
Writing,Internal consistency metrics,"Consistency (user profile, psychotherapeutic approach)",Automatic,e-THERAPIST: I suggest you to cultivate a mindset of positivity and nurture uplifting thoughts,https://aclanthology.org/2023.emnlp-main.861.pdf
Writing,Internal consistency metrics,Motivational consistency,LLM,StoryVerse: Towards Co-authoring Dynamic Plot with LLM-based Character Simulation via Narrative Planning,https://dl.acm.org/doi/abs/10.1145/3649921.3656987
Writing,Internal consistency metrics,Audience similarity,Human,Proxona: Supporting Creators’ Sensemaking and Ideation with LLM-Powered Audience Personas,https://arxiv.org/pdf/2408.10937
Writing,Internal consistency metrics,"Quality of generated dimension & values (relevance, mutual exclusiveness)",Human,Proxona: Supporting Creators’ Sensemaking and Ideation with LLM-Powered Audience Personas,https://arxiv.org/pdf/2408.10937
Writing,External alignment metrics,Factual error rate,Automatic,UNLEASHING COGNITIVE SYNERGY IN LARGE LANGUAGE MODELS: A TASK-SOLVING AGENT THROUGH MULTI-PERSONA SELF-COLLABORATION,https://www.researchgate.net/profile/Wenshan-Wu-2/publication/372286729_Unleashing_Cognitive_Synergy_in_Large_Language_Models_A_Task-Solving_Agent_through_Multi-Persona_Self-Collaboration/links/653b83255d51a8012b727b89/Unleashing-Cognitive-Synergy-in-Large-Language-Models-A-Task-Solving-Agent-through-Multi-Persona-Self-Collaboration.pdf
Writing,External alignment metrics,"Correctness (politeness, interpersonal behaviour)",Automatic,e-THERAPIST: I suggest you to cultivate a mindset of positivity and nurture uplifting thoughts,https://aclanthology.org/2023.emnlp-main.861.pdf
Writing,External alignment metrics,Hallucination (groundedness of the chat responses),Human,Proxona: Supporting Creators’ Sensemaking and Ideation with LLM-Powered Audience Personas,https://arxiv.org/pdf/2408.10937
Writing,Content and textual metrics,Linguistic similarity,Human,Proxona: Supporting Creators’ Sensemaking and Ideation with LLM-Powered Audience Personas,https://arxiv.org/pdf/2408.10937
Writing,Content and textual metrics,Fluency,Human,e-THERAPIST: I suggest you to cultivate a mindset of positivity and nurture uplifting thoughts,https://aclanthology.org/2023.emnlp-main.861.pdf
Writing,Content and textual metrics,Perplexity,Automatic,e-THERAPIST: I suggest you to cultivate a mindset of positivity and nurture uplifting thoughts,https://aclanthology.org/2023.emnlp-main.861.pdf
Writing,Content and textual metrics,Non-Repetitiveness,Human,e-THERAPIST: I suggest you to cultivate a mindset of positivity and nurture uplifting thoughts,https://aclanthology.org/2023.emnlp-main.861.pdf
Writing,Content and textual metrics,response generation quality,Automatic,Hello Again! LLM-powered Personalized Agent for Long-term Dialogue,https://arxiv.org/abs/2406.05925
Writing,Content and textual metrics,Coherency,LLM,StoryVerse: Towards Co-authoring Dynamic Plot with LLM-based Character Simulation via Narrative Planning,https://dl.acm.org/doi/abs/10.1145/3649921.3656987
